Problema,Respuesta
programador tiene 96 sillas y con una diferencia 96 sillas ¿Cuanto queda?,Queda 0 sillas
un bombero tiene 10 piedras y le dan 88 piedras ¿Cuantos tienen entre los dos?,Entre los dos tienen 98 piedras
un camarero tiene 79 pajaros y resta 43 pajaros ¿Cuanto queda?,Queda 36 pajaros
hay 39 niños en clase y se van 36 ¿Cuantos niños quedan?,Quedan 3 niños
Celeste tiene 73 balones de rugby y Cesar tiene 30 balones de rugby ¿Cuantos balones hay en total?,En total hay 103 balones
Un carpitero tiene 12 moviles y añade 52 moviles ¿Cuantos hay en total?,En total hay 64 moviles
Un carpitero tiene 86 lapices y le extraen 55 lapices ¿Cuantos le queda?,Le queda 31 lapices
jose tiene 73 balones y incluye 4 balones ¿Cuantos hay al final ?,Al final hay 77 balones
piloto tiene 70 balones y incluye 7 balones ¿Cuantos tienen entre los dos?,Entre los dos tienen 77 balones
un cirujano tiene 76 mesas y le extraen 62 mesas ¿Cuantos tiene al final?,Al final tiene 14 mesas
Una azafata tiene 10 balones y suma 99 balones ¿Cuantos hay en total?,En total hay 109 balones
fontanero tiene 70 pajaros y resta 12 pajaros ¿Cuanto queda?,Queda 58 pajaros
un profesor tiene 66 piedras y le extraen 2 piedras ¿Cuantos tiene al final?,Al final tiene 64 piedras
una actriz tiene 22 coches y suma 98 coches ¿Cuantos hay al final ?,Al final hay 120 coches
piloto tiene 41 canicas y le entregan 42 canicas ¿Cuantos tienen entre los dos?,Entre los dos tienen 83 canicas
paloma tiene 12 carteras y le entregan 73 carteras ¿Cuantos hay en total?,En total hay 85 carteras
Pablo tiene 51 uvas y Julio tiene 92 uvas ¿Cuantos frutas hay en total?,En total hay 143 frutas
Federico tiene 56 sandias y Francisco tiene 44 toronjas ¿Cuantos frutas hay en total?,En total hay 100 frutas
una actriz tiene 65 teles y con una diferencia 61 teles ¿Cuantos tiene al final?,Al final tiene 4 teles
hay 72 tortillas en una mesa y se comen 78 ¿Cuantos tortillas quedan?,Quedan 6 tortillas
paloma tiene 66 moviles y le quitan 63 moviles ¿Cuanto queda?,Queda 3 moviles
Lorena tiene 85 coco y Julio tiene 59 ciruela ¿Cuantos frutas hay en total?,En total hay 144 frutas
un albañil tiene 88 sillas y excluye 64 sillas ¿Cuantos le queda?,Le queda 24 sillas
un obrero tiene 48 balones y le entregan 27 balones ¿Cuantos tienen entre los dos?,Entre los dos tienen 75 balones
hay 65 pajaros en un arbol y se van volando 3 ¿Cuantos pajaros quedan?,Quedan 62 pajaros
profesor tiene 54 pajaros y le quitan 36 pajaros ¿Cuanto queda?,Queda 18 pajaros
Una azafata tiene 76 carteras y con una diferencia 27 carteras ¿Cuantos le queda?,Le queda 49 carteras
Enrique tiene 53 balones y suma 87 balones ¿Cuantos hay en total?,En total hay 140 balones
un cirujano tiene 73 relojes y suma 50 relojes ¿Cuantos tienen entre los dos?,Entre los dos tienen 123 relojes
hay 67 pajaros en un arbol y se van volando 39 ¿Cuantos pajaros quedan?,Quedan 28 pajaros
pablito  tiene 73 sillas y incluye 58 sillas ¿Cuantos hay al final ?,Al final hay 131 sillas
hay 17 pajaros en un arbol y se van volando 3 ¿Cuantos pajaros quedan?,Quedan 14 pajaros
hay 61 pajaros en un arbol y se van volando 33 ¿Cuantos pajaros quedan?,Quedan 28 pajaros
un cirujano tiene 88 relojes y le dan 19 relojes ¿Cuantos hay al final ?,Al final hay 107 relojes
un actor tiene 69 piedras y le entregan 84 piedras ¿Cuantos hay al final ?,Al final hay 153 piedras
pablito  tiene 62 balones y le quitan 9 balones ¿Cuantos tiene al final?,Al final tiene 53 balones
profesor tiene 35 canicas y con una diferencia 28 canicas ¿Cuanto queda?,Queda 7 canicas
hay 10 tortillas en una mesa y se comen 56 ¿Cuantos tortillas quedan?,Quedan 46 tortillas
Cesar tiene 7 melocotones y Lucas tiene 31 melocotones ¿Cuantos frutas hay en total?,En total hay 38 frutas
hay 15 pajaros en un arbol y se van volando 12 ¿Cuantos pajaros quedan?,Quedan 3 pajaros
un profesor tiene 22 teles y suma 86 teles ¿Cuantos hay en total?,En total hay 108 teles
un albañil tiene 64 frutas y con una diferencia 60 frutas ¿Cuanto queda?,Queda 4 frutas
hay 30 tortillas en una mesa y se comen 27 ¿Cuantos tortillas quedan?,Quedan 3 tortillas
hay 100 niños en clase y se van 43 ¿Cuantos niños quedan?,Quedan 57 niños
Celeste tiene 44 manzanas y Lucas tiene 39 melocotones ¿Cuantos frutas hay en total?,En total hay 83 frutas
Ana tiene 35 ciruela y Lucas tiene 29 platano ¿Cuantos frutas hay en total?,En total hay 64 frutas
perro tiene 69 mesas y excluye 5 mesas ¿Cuantos le queda?,Le queda 64 mesas
un policia tiene 70 lapices y le extraen 27 lapices ¿Cuantos le queda?,Le queda 43 lapices
un obrero tiene 5 piedras y le dan 61 piedras ¿Cuantos hay al final ?,Al final hay 66 piedras
Federico tiene 74 balones de tenis y Lucas tiene 16 balones de futbol ¿Cuantos balones hay en total?,En total hay 90 balones
un bombero tiene 100 sillas y con una diferencia 35 sillas ¿Cuantos le queda?,Le queda 65 sillas
hay 81 tortillas en una mesa y se comen 38 ¿Cuantos tortillas quedan?,Quedan 43 tortillas
piloto tiene 38 relojes y suma 32 relojes ¿Cuantos hay al final ?,Al final hay 70 relojes
un bombero tiene 51 canicas y con una diferencia 50 canicas ¿Cuanto queda?,Queda 1 canicas
Celeste tiene 74 manzanas y Cesar tiene 20 manzanas ¿Cuantos frutas hay en total?,En total hay 94 frutas
programador tiene 66 balones y le quitan 35 balones ¿Cuantos tiene al final?,Al final tiene 31 balones
hay 56 pajaros en un arbol y se van volando 79 ¿Cuantos pajaros quedan?,Quedan 23 pajaros
un actor tiene 96 balones y resta 73 balones ¿Cuantos le queda?,Le queda 23 balones
programador tiene 77 canicas y le quitan 42 canicas ¿Cuanto queda?,Queda 35 canicas
ingeniero tiene 24 lapices y añade 28 lapices ¿Cuantos hay al final ?,Al final hay 52 lapices
Un carpitero tiene 52 coches y le extraen 38 coches ¿Cuantos le queda?,Le queda 14 coches
un obrero tiene 20 pajaros y le entregan 11 pajaros ¿Cuantos tienen entre los dos?,Entre los dos tienen 31 pajaros
Enrique tiene 68 pajaros y excluye 34 pajaros ¿Cuanto queda?,Queda 34 pajaros
hay 32 pajaros en un arbol y se van volando 2 ¿Cuantos pajaros quedan?,Quedan 30 pajaros
hay 81 tortillas en una mesa y se comen 58 ¿Cuantos tortillas quedan?,Quedan 23 tortillas
Lucas tiene 32 peras y Julio tiene 5 coco ¿Cuantos frutas hay en total?,En total hay 37 frutas
ingeniero tiene 81 moviles y incluye 48 moviles ¿Cuantos tienen entre los dos?,Entre los dos tienen 129 moviles
hay 68 tortillas en una mesa y se comen 19 ¿Cuantos tortillas quedan?,Quedan 49 tortillas
hay 20 tortillas en una mesa y se comen 33 ¿Cuantos tortillas quedan?,Quedan 13 tortillas
Julio tiene 85 toronjas y Federico tiene 100 ciruela ¿Cuantos frutas hay en total?,En total hay 185 frutas
hay 40 tortillas en una mesa y se comen 87 ¿Cuantos tortillas quedan?,Quedan 47 tortillas
Enrique tiene 65 canicas y suma 92 canicas ¿Cuantos hay en total?,En total hay 157 canicas
Gustavo tiene 25 balones de tenis y Pedro tiene 48 balones de tenis ¿Cuantos balones hay en total?,En total hay 73 balones
hay 36 niños en clase y se van 26 ¿Cuantos niños quedan?,Quedan 10 niños
Enrique tiene 99 canicas y con una diferencia 60 canicas ¿Cuanto queda?,Queda 39 canicas
hay 35 pajaros en un arbol y se van volando 98 ¿Cuantos pajaros quedan?,Quedan 63 pajaros
perro tiene 61 canicas y con una diferencia 38 canicas ¿Cuantos le queda?,Le queda 23 canicas
paloma tiene 14 teles y incluye 80 teles ¿Cuantos tienen entre los dos?,Entre los dos tienen 94 teles
hay 93 pajaros en un arbol y se van volando 26 ¿Cuantos pajaros quedan?,Quedan 67 pajaros
Una azafata tiene 65 sillas y le entregan 90 sillas ¿Cuantos hay en total?,En total hay 155 sillas
hay 85 pajaros en un arbol y se van volando 22 ¿Cuantos pajaros quedan?,Quedan 63 pajaros
Enrique tiene 74 sillas y incluye 75 sillas ¿Cuantos tienen entre los dos?,Entre los dos tienen 149 sillas
hay 27 niños en clase y se van 42 ¿Cuantos niños quedan?,Quedan 15 niños
ingeniero tiene 53 balones y le entregan 30 balones ¿Cuantos hay al final ?,Al final hay 83 balones
hay 10 tortillas en una mesa y se comen 68 ¿Cuantos tortillas quedan?,Quedan 58 tortillas
paloma tiene 5 relojes y añade 26 relojes ¿Cuantos hay en total?,En total hay 31 relojes
Juan tiene 95 toronjas y Federico tiene 83 melocotones ¿Cuantos frutas hay en total?,En total hay 178 frutas
profesor tiene 53 pajaros y le extraen 19 pajaros ¿Cuanto queda?,Queda 34 pajaros
un albañil tiene 85 animales y resta 34 animales ¿Cuantos tiene al final?,Al final tiene 51 animales
hay 80 niños en clase y se van 12 ¿Cuantos niños quedan?,Quedan 68 niños
un bombero tiene 100 moviles y le extraen 1 moviles ¿Cuantos le queda?,Le queda 99 moviles
un obrero tiene 72 canicas y le quitan 38 canicas ¿Cuantos le queda?,Le queda 34 canicas
cirujano tiene 77 carteras y suma 39 carteras ¿Cuantos hay en total?,En total hay 116 carteras
Roberto tiene 83 balones de rugby y Juan tiene 7 balones de voley ¿Cuantos balones hay en total?,En total hay 90 balones
hay 58 niños en clase y se van 3 ¿Cuantos niños quedan?,Quedan 55 niños
Juan tiene 27 ciruela y Francisco tiene 29 toronjas ¿Cuantos frutas hay en total?,En total hay 56 frutas
Francisco tiene 38 coco y Juan tiene 60 peras ¿Cuantos frutas hay en total?,En total hay 98 frutas
Ana tiene 21 balones de tenis y Juan tiene 85 balones de futbol ¿Cuantos balones hay en total?,En total hay 106 balones
ingeniero tiene 17 moviles y incluye 65 moviles ¿Cuantos hay al final ?,Al final hay 82 moviles
un obrero tiene 99 sillas y incluye 81 sillas ¿Cuantos hay al final ?,Al final hay 180 sillas
un actor tiene 69 pajaros y con una diferencia 51 pajaros ¿Cuantos tiene al final?,Al final tiene 18 pajaros
piloto tiene 82 moviles y le dan 11 moviles ¿Cuantos tienen entre los dos?,Entre los dos tienen 93 moviles
hay 32 tortillas en una mesa y se comen 78 ¿Cuantos tortillas quedan?,Quedan 46 tortillas
Lorena tiene 70 papayas y Julio tiene 22 uvas ¿Cuantos frutas hay en total?,En total hay 92 frutas
una actriz tiene 58 sillas y incluye 18 sillas ¿Cuantos hay al final ?,Al final hay 76 sillas
fontanero tiene 32 balones y incluye 77 balones ¿Cuantos hay al final ?,Al final hay 109 balones
programador tiene 84 coches y con una diferencia 74 coches ¿Cuanto queda?,Queda 10 coches
Federico tiene 22 balones de basquet y Celeste tiene 87 balones de voley ¿Cuantos balones hay en total?,En total hay 109 balones
hay 23 pajaros en un arbol y se van volando 95 ¿Cuantos pajaros quedan?,Quedan 72 pajaros
piloto tiene 59 unidades y le extraen 14 unidades ¿Cuantos tiene al final?,Al final tiene 45 unidades
una actriz tiene 55 piedras y añade 26 piedras ¿Cuantos hay al final ?,Al final hay 81 piedras
hay 78 pajaros en un arbol y se van volando 41 ¿Cuantos pajaros quedan?,Quedan 37 pajaros
hay 27 pajaros en un arbol y se van volando 78 ¿Cuantos pajaros quedan?,Quedan 51 pajaros
un obrero tiene 36 balones y le entregan 87 balones ¿Cuantos hay al final ?,Al final hay 123 balones
una actriz tiene 97 pajaros y suma 34 pajaros ¿Cuantos hay en total?,En total hay 131 pajaros
Una azafata tiene 87 animales y le entregan 59 animales ¿Cuantos hay en total?,En total hay 146 animales
un mecanico tiene 52 lapices y le quitan 4 lapices ¿Cuantos tiene al final?,Al final tiene 48 lapices
programador tiene 75 animales y le extraen 54 animales ¿Cuantos le queda?,Le queda 21 animales
piloto tiene 22 frutas y resta 8 frutas ¿Cuantos tiene al final?,Al final tiene 14 frutas
hay 79 tortillas en una mesa y se comen 33 ¿Cuantos tortillas quedan?,Quedan 46 tortillas
un camarero tiene 72 sillas y resta 24 sillas ¿Cuantos le queda?,Le queda 48 sillas
un profesor tiene 7 carteras y le dan 16 carteras ¿Cuantos hay en total?,En total hay 23 carteras
pablito  tiene 100 canicas y le quitan 29 canicas ¿Cuantos tiene al final?,Al final tiene 71 canicas
hay 95 tortillas en una mesa y se comen 14 ¿Cuantos tortillas quedan?,Quedan 81 tortillas
un albañil tiene 81 canicas y le quitan 66 canicas ¿Cuantos tiene al final?,Al final tiene 15 canicas
un policia tiene 66 coches y le entregan 37 coches ¿Cuantos hay al final ?,Al final hay 103 coches
Una azafata tiene 72 moviles y le quitan 9 moviles ¿Cuantos le queda?,Le queda 63 moviles
Francisco tiene 11 balones de basquet y Lucas tiene 54 balones de voley ¿Cuantos balones hay en total?,En total hay 65 balones
un actor tiene 85 balones y suma 10 balones ¿Cuantos hay al final ?,Al final hay 95 balones
hay 49 tortillas en una mesa y se comen 63 ¿Cuantos tortillas quedan?,Quedan 14 tortillas
un cirujano tiene 8 coches y le entregan 31 coches ¿Cuantos tienen entre los dos?,Entre los dos tienen 39 coches
hay 71 tortillas en una mesa y se comen 75 ¿Cuantos tortillas quedan?,Quedan 4 tortillas
un profesor tiene 93 animales y le extraen 49 animales ¿Cuantos tiene al final?,Al final tiene 44 animales
profesor tiene 93 lapices y le quitan 3 lapices ¿Cuantos le queda?,Le queda 90 lapices
un bombero tiene 51 piedras y resta 36 piedras ¿Cuantos le queda?,Le queda 15 piedras
hay 69 niños en clase y se van 81 ¿Cuantos niños quedan?,Quedan 12 niños
Cesar tiene 38 balones de basquet y Pedro tiene 55 balones de futbol ¿Cuantos balones hay en total?,En total hay 93 balones
Julio tiene 31 balones de basquet y Ana tiene 36 balones de basquet ¿Cuantos balones hay en total?,En total hay 67 balones
un perro tiene 96 balones y añade 51 balones ¿Cuantos hay en total?,En total hay 147 balones
un albañil tiene 1 moviles y le dan 26 moviles ¿Cuantos hay en total?,En total hay 27 moviles
cirujano tiene 87 relojes y le quitan 21 relojes ¿Cuanto queda?,Queda 66 relojes
hay 78 pajaros en un arbol y se van volando 6 ¿Cuantos pajaros quedan?,Quedan 72 pajaros
Cesar tiene 56 balones de tenis y Federico tiene 44 balones de rugby ¿Cuantos balones hay en total?,En total hay 100 balones
Una azafata tiene 91 teles y resta 18 teles ¿Cuantos tiene al final?,Al final tiene 73 teles
Enrique tiene 96 pajaros y le quitan 73 pajaros ¿Cuantos le queda?,Le queda 23 pajaros
hay 96 niños en clase y se van 26 ¿Cuantos niños quedan?,Quedan 70 niños
hay 5 pajaros en un arbol y se van volando 60 ¿Cuantos pajaros quedan?,Quedan 55 pajaros
Pablo tiene 29 balones de basquet y Roberto tiene 38 balones de voley ¿Cuantos balones hay en total?,En total hay 67 balones
fontanero tiene 36 coches y le dan 57 coches ¿Cuantos hay en total?,En total hay 93 coches
hay 6 tortillas en una mesa y se comen 3 ¿Cuantos tortillas quedan?,Quedan 3 tortillas
ingeniero tiene 75 unidades y incluye 38 unidades ¿Cuantos tienen entre los dos?,Entre los dos tienen 113 unidades
Pedro tiene 72 toronjas y Ana tiene 25 papayas ¿Cuantos frutas hay en total?,En total hay 97 frutas
Enrique tiene 97 frutas y resta 67 frutas ¿Cuantos tiene al final?,Al final tiene 30 frutas
Lorena tiene 48 coco y Cesar tiene 72 coco ¿Cuantos frutas hay en total?,En total hay 120 frutas
hay 89 pajaros en un arbol y se van volando 50 ¿Cuantos pajaros quedan?,Quedan 39 pajaros
medico tiene 27 relojes y con una diferencia 5 relojes ¿Cuantos le queda?,Le queda 22 relojes
hay 28 pajaros en un arbol y se van volando 9 ¿Cuantos pajaros quedan?,Quedan 19 pajaros
hay 26 tortillas en una mesa y se comen 64 ¿Cuantos tortillas quedan?,Quedan 38 tortillas
hay 45 niños en clase y se van 51 ¿Cuantos niños quedan?,Quedan 6 niños
Lorena tiene 8 balones de rugby y Francisco tiene 20 balones de rugby ¿Cuantos balones hay en total?,En total hay 28 balones
Federico tiene 58 balones de basquet y Cesar tiene 74 balones de rugby ¿Cuantos balones hay en total?,En total hay 132 balones
profesor tiene 37 frutas y le quitan 4 frutas ¿Cuantos tiene al final?,Al final tiene 33 frutas
un perro tiene 100 animales y incluye 82 animales ¿Cuantos hay al final ?,Al final hay 182 animales
hay 79 tortillas en una mesa y se comen 78 ¿Cuantos tortillas quedan?,Quedan 1 tortillas
Ana tiene 50 toronjas y Celeste tiene 97 ciruela ¿Cuantos frutas hay en total?,En total hay 147 frutas
Roberto tiene 60 balones de basquet y Celeste tiene 44 balones de rugby ¿Cuantos balones hay en total?,En total hay 104 balones
programador tiene 25 unidades y suma 14 unidades ¿Cuantos tienen entre los dos?,Entre los dos tienen 39 unidades
Pedro tiene 61 balones de futbol y Juan tiene 9 balones de tenis ¿Cuantos balones hay en total?,En total hay 70 balones
un perro tiene 16 carteras y excluye 3 carteras ¿Cuantos le queda?,Le queda 13 carteras
Pedro tiene 7 uvas y Francisco tiene 27 coco ¿Cuantos frutas hay en total?,En total hay 34 frutas
hay 59 pajaros en un arbol y se van volando 85 ¿Cuantos pajaros quedan?,Quedan 26 pajaros
ingeniero tiene 6 balones y suma 6 balones ¿Cuantos hay al final ?,Al final hay 12 balones
hay 72 pajaros en un arbol y se van volando 79 ¿Cuantos pajaros quedan?,Quedan 7 pajaros
hay 5 niños en clase y se van 70 ¿Cuantos niños quedan?,Quedan 65 niños
cirujano tiene 54 canicas y con una diferencia 11 canicas ¿Cuantos le queda?,Le queda 43 canicas
Juan tiene 44 balones de voley y Pablo tiene 26 balones de rugby ¿Cuantos balones hay en total?,En total hay 70 balones
medico tiene 5 coches y añade 38 coches ¿Cuantos hay al final ?,Al final hay 43 coches
un bombero tiene 60 sillas y con una diferencia 24 sillas ¿Cuantos tiene al final?,Al final tiene 36 sillas
un perro tiene 76 mesas y le extraen 32 mesas ¿Cuantos tiene al final?,Al final tiene 44 mesas
hay 29 tortillas en una mesa y se comen 82 ¿Cuantos tortillas quedan?,Quedan 53 tortillas
hay 18 niños en clase y se van 76 ¿Cuantos niños quedan?,Quedan 58 niños
medico tiene 25 lapices y suma 96 lapices ¿Cuantos hay al final ?,Al final hay 121 lapices
Pablo tiene 93 ciruela y Pedro tiene 34 toronjas ¿Cuantos frutas hay en total?,En total hay 127 frutas
Gustavo tiene 38 coco y Lucas tiene 3 peras ¿Cuantos frutas hay en total?,En total hay 41 frutas
un perro tiene 95 animales y incluye 29 animales ¿Cuantos hay en total?,En total hay 124 animales
Una azafata tiene 55 coches y le extraen 17 coches ¿Cuanto queda?,Queda 38 coches
Celeste tiene 3 ciruela y Cesar tiene 47 peras ¿Cuantos frutas hay en total?,En total hay 50 frutas
medico tiene 59 carteras y le entregan 67 carteras ¿Cuantos tienen entre los dos?,Entre los dos tienen 126 carteras
un obrero tiene 90 frutas y con una diferencia 87 frutas ¿Cuantos le queda?,Le queda 3 frutas
Julio tiene 91 balones de basquet y Celeste tiene 45 balones de voley ¿Cuantos balones hay en total?,En total hay 136 balones
Francisco tiene 99 uvas y Julio tiene 61 peras ¿Cuantos frutas hay en total?,En total hay 160 frutas
Cesar tiene 60 ciruela y Lorena tiene 59 coco ¿Cuantos frutas hay en total?,En total hay 119 frutas
un policia tiene 91 pajaros y excluye 26 pajaros ¿Cuantos le queda?,Le queda 65 pajaros
Ana tiene 51 sandias y Francisco tiene 98 uvas ¿Cuantos frutas hay en total?,En total hay 149 frutas
hay 86 niños en clase y se van 13 ¿Cuantos niños quedan?,Quedan 73 niños
un profesor tiene 48 unidades y le dan 65 unidades ¿Cuantos hay en total?,En total hay 113 unidades
profesor tiene 72 piedras y excluye 12 piedras ¿Cuanto queda?,Queda 60 piedras
hay 50 tortillas en una mesa y se comen 66 ¿Cuantos tortillas quedan?,Quedan 16 tortillas
medico tiene 78 unidades y le entregan 67 unidades ¿Cuantos hay en total?,En total hay 145 unidades
Pedro tiene 43 balones de voley y Francisco tiene 58 balones de voley ¿Cuantos balones hay en total?,En total hay 101 balones
Juan tiene 76 ciruela y Cesar tiene 94 sandias ¿Cuantos frutas hay en total?,En total hay 170 frutas
hay 8 niños en clase y se van 84 ¿Cuantos niños quedan?,Quedan 76 niños
Lorena tiene 13 sandias y Pedro tiene 8 uvas ¿Cuantos frutas hay en total?,En total hay 21 frutas
Federico tiene 63 balones de voley y Ana tiene 6 balones de voley ¿Cuantos balones hay en total?,En total hay 69 balones
un albañil tiene 100 carteras y excluye 50 carteras ¿Cuantos le queda?,Le queda 50 carteras
Pedro tiene 71 manzanas y Juan tiene 12 toronjas ¿Cuantos frutas hay en total?,En total hay 83 frutas
programador tiene 48 piedras y le quitan 26 piedras ¿Cuantos le queda?,Le queda 22 piedras
hay 86 niños en clase y se van 63 ¿Cuantos niños quedan?,Quedan 23 niños
hay 24 tortillas en una mesa y se comen 77 ¿Cuantos tortillas quedan?,Quedan 53 tortillas
Lorena tiene 75 balones de futbol y Celeste tiene 45 balones de tenis ¿Cuantos balones hay en total?,En total hay 120 balones
Una azafata tiene 69 balones y le quitan 49 balones ¿Cuantos tiene al final?,Al final tiene 20 balones
Lucas tiene 81 coco y Pedro tiene 11 ciruela ¿Cuantos frutas hay en total?,En total hay 92 frutas
Juan tiene 4 platano y Celeste tiene 38 melocotones ¿Cuantos frutas hay en total?,En total hay 42 frutas
Pedro tiene 13 ciruela y Roberto tiene 97 ciruela ¿Cuantos frutas hay en total?,En total hay 110 frutas
Ana tiene 66 balones de futbol y Celeste tiene 12 balones de voley ¿Cuantos balones hay en total?,En total hay 78 balones
un policia tiene 92 frutas y añade 98 frutas ¿Cuantos hay en total?,En total hay 190 frutas
hay 44 pajaros en un arbol y se van volando 79 ¿Cuantos pajaros quedan?,Quedan 35 pajaros
Gustavo tiene 51 balones de voley y Cesar tiene 93 balones de voley ¿Cuantos balones hay en total?,En total hay 144 balones
Pablo tiene 61 manzanas y Federico tiene 78 uvas ¿Cuantos frutas hay en total?,En total hay 139 frutas
un albañil tiene 28 mesas y le dan 1 mesas ¿Cuantos tienen entre los dos?,Entre los dos tienen 29 mesas
Lorena tiene 84 sandias y Roberto tiene 18 melocotones ¿Cuantos frutas hay en total?,En total hay 102 frutas
un actor tiene 94 unidades y le entregan 1 unidades ¿Cuantos hay en total?,En total hay 95 unidades
hay 74 niños en clase y se van 41 ¿Cuantos niños quedan?,Quedan 33 niños
pablito  tiene 24 unidades y le extraen 14 unidades ¿Cuanto queda?,Queda 10 unidades
hay 4 niños en clase y se van 1 ¿Cuantos niños quedan?,Quedan 3 niños
hay 59 pajaros en un arbol y se van volando 37 ¿Cuantos pajaros quedan?,Quedan 22 pajaros
fontanero tiene 66 animales y añade 43 animales ¿Cuantos hay al final ?,Al final hay 109 animales
un bombero tiene 45 pajaros y incluye 89 pajaros ¿Cuantos hay en total?,En total hay 134 pajaros
una actriz tiene 74 sillas y le quitan 10 sillas ¿Cuantos tiene al final?,Al final tiene 64 sillas
hay 14 tortillas en una mesa y se comen 87 ¿Cuantos tortillas quedan?,Quedan 73 tortillas
Enrique tiene 10 mesas y le entregan 96 mesas ¿Cuantos hay en total?,En total hay 106 mesas
Francisco tiene 91 platano y Celeste tiene 21 coco ¿Cuantos frutas hay en total?,En total hay 112 frutas
hay 4 pajaros en un arbol y se van volando 14 ¿Cuantos pajaros quedan?,Quedan 10 pajaros
ingeniero tiene 47 unidades y excluye 15 unidades ¿Cuanto queda?,Queda 32 unidades
hay 2 tortillas en una mesa y se comen 54 ¿Cuantos tortillas quedan?,Quedan 52 tortillas
hay 91 tortillas en una mesa y se comen 30 ¿Cuantos tortillas quedan?,Quedan 61 tortillas
hay 38 tortillas en una mesa y se comen 44 ¿Cuantos tortillas quedan?,Quedan 6 tortillas
un perro tiene 73 pajaros y incluye 2 pajaros ¿Cuantos hay en total?,En total hay 75 pajaros
fontanero tiene 31 piedras y le dan 16 piedras ¿Cuantos hay al final ?,Al final hay 47 piedras
jose tiene 94 balones y excluye 91 balones ¿Cuantos le queda?,Le queda 3 balones
ingeniero tiene 80 moviles y le dan 51 moviles ¿Cuantos hay en total?,En total hay 131 moviles
cirujano tiene 10 moviles y añade 47 moviles ¿Cuantos hay al final ?,Al final hay 57 moviles
Pablo tiene 5 papayas y Juan tiene 30 coco ¿Cuantos frutas hay en total?,En total hay 35 frutas
hay 10 pajaros en un arbol y se van volando 65 ¿Cuantos pajaros quedan?,Quedan 55 pajaros
programador tiene 29 animales y con una diferencia 14 animales ¿Cuantos le queda?,Le queda 15 animales
Lorena tiene 1 manzanas y Roberto tiene 73 papayas ¿Cuantos frutas hay en total?,En total hay 74 frutas
programador tiene 3 coches y incluye 73 coches ¿Cuantos hay al final ?,Al final hay 76 coches
Roberto tiene 1 balones de tenis y Juan tiene 89 balones de rugby ¿Cuantos balones hay en total?,En total hay 90 balones
un mecanico tiene 19 teles y añade 82 teles ¿Cuantos tienen entre los dos?,Entre los dos tienen 101 teles
un cirujano tiene 70 pajaros y le dan 7 pajaros ¿Cuantos hay en total?,En total hay 77 pajaros
Gustavo tiene 37 balones de basquet y Francisco tiene 6 balones de basquet ¿Cuantos balones hay en total?,En total hay 43 balones
Pedro tiene 65 balones de basquet y Cesar tiene 12 balones de rugby ¿Cuantos balones hay en total?,En total hay 77 balones
Enrique tiene 50 coches y excluye 3 coches ¿Cuantos tiene al final?,Al final tiene 47 coches
Ana tiene 63 sandias y Pablo tiene 3 coco ¿Cuantos frutas hay en total?,En total hay 66 frutas
hay 99 niños en clase y se van 51 ¿Cuantos niños quedan?,Quedan 48 niños
un bombero tiene 62 lapices y le extraen 39 lapices ¿Cuantos le queda?,Le queda 23 lapices
un policia tiene 91 unidades y excluye 76 unidades ¿Cuantos tiene al final?,Al final tiene 15 unidades
programador tiene 76 coches y excluye 54 coches ¿Cuanto queda?,Queda 22 coches
hay 34 tortillas en una mesa y se comen 94 ¿Cuantos tortillas quedan?,Quedan 60 tortillas
un camarero tiene 10 teles y le entregan 38 teles ¿Cuantos tienen entre los dos?,Entre los dos tienen 48 teles
Un carpitero tiene 96 lapices y con una diferencia 80 lapices ¿Cuantos le queda?,Le queda 16 lapices
Juan tiene 30 balones de voley y Lorena tiene 7 balones de rugby ¿Cuantos balones hay en total?,En total hay 37 balones
un albañil tiene 73 moviles y con una diferencia 66 moviles ¿Cuantos tiene al final?,Al final tiene 7 moviles
hay 26 niños en clase y se van 32 ¿Cuantos niños quedan?,Quedan 6 niños
un mecanico tiene 94 unidades y le quitan 77 unidades ¿Cuantos le queda?,Le queda 17 unidades
hay 67 tortillas en una mesa y se comen 32 ¿Cuantos tortillas quedan?,Quedan 35 tortillas
Lucas tiene 56 peras y Celeste tiene 29 peras ¿Cuantos frutas hay en total?,En total hay 85 frutas
paloma tiene 27 moviles y le quitan 5 moviles ¿Cuantos le queda?,Le queda 22 moviles
Roberto tiene 26 papayas y Celeste tiene 81 coco ¿Cuantos frutas hay en total?,En total hay 107 frutas
hay 64 tortillas en una mesa y se comen 45 ¿Cuantos tortillas quedan?,Quedan 19 tortillas
un obrero tiene 26 sillas y suma 67 sillas ¿Cuantos hay al final ?,Al final hay 93 sillas
perro tiene 22 pajaros y le entregan 76 pajaros ¿Cuantos hay al final ?,Al final hay 98 pajaros
Lucas tiene 59 balones de rugby y Roberto tiene 15 balones de futbol ¿Cuantos balones hay en total?,En total hay 74 balones
hay 56 tortillas en una mesa y se comen 85 ¿Cuantos tortillas quedan?,Quedan 29 tortillas
Roberto tiene 28 toronjas y Cesar tiene 8 ciruela ¿Cuantos frutas hay en total?,En total hay 36 frutas
un mecanico tiene 30 coches y le entregan 83 coches ¿Cuantos tienen entre los dos?,Entre los dos tienen 113 coches
jose tiene 98 canicas y con una diferencia 51 canicas ¿Cuanto queda?,Queda 47 canicas
